filename , title , year , authors , topic 
2017_transformer_Attention Is All You Need.pdf,Attention Is All You Need,2017,"Ashish Vaswani, Llion Jones, Noam Shazeer, Niki Parmarm, Jakob Uszkoreit, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",transformer
2020_scaling laws_Scaling Laws for Neural Language Models.pdf,Scaling Laws for Neural Language Models,2020,"Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, Dario Amodei",scaling laws
2022_fine tuning_Scaling Instruction-Finetuned Language Models.pdf,Scaling Instruction-Finetuned Language Models,2022,"Hyung Won Chung, Le Hou, Shayne Longpre, Barret Zoph, Yi Tay, William Fedus, Yunxuan Li, Xuezhi Wang, Mostafa Dehghani, Siddhartha Brahma, Albert Webson, Shixiang Shane Gu, Zhuyun Dai, Mirac Suzgun, Xinyun Chen, Aakanksha Chowdhery, Alex Castro-Ros, Marie Pellat, Kevin Robinson, Dasha Valter, Sharan Narang, Gaurav Mishra, Adams Yu, Vincent Zhao, Yanping Huang, Andrew Dai, Hongkun Yu, Slav Petrov, Ed H. Chi, Jeff Dean, Jacob Devlin, Adam Roberts, Denny Zhou, Quoc V. Le, Jason Wei",fine tuning
2022_LLM limitation_Robustness of Learning from Task Instructions.pdf,Robustness of Learning from Task Instructions,2022,"Jiasheng Gu, Hongyu Zhao, Hanzi Xu, Liangyu Nie, Hongyuan Mei, Wenpeng Yin",LLM limitation
"2022_LLM limitation_The Reversal Curse- LLMs trained on ""A is B"" fail to learn ""B is A"".pdf","The Reversal Curse- LLMs trained on ""A is B"" fail to learn ""B is A""",2022,"Lukas Berglund, Meg Tong, Max Kaufmann, Mikita Balesni, Asa Cooper Stickland, Tomasz Korbak, Owain Evans",LLM limitation
2023_LLM application_Challenges and Applications of Large Language Models.pdf,Challenges and Applications of Large Language Models,2023,"Jean Kaddour, Joshua Harris, Maximilian Mozes, Herbie Bradley, Roberta Raileanu, Robert McHardy",LLM application
2023_LLM limitation_Evaluating the Zero-shot Robustness of Instruction-tuned Language Models.pdf,Evaluating the Zero-shot Robustness of Instruction-tuned Language Models,2023,"Jiuding Sun, Chantal Shaib, Byron C. Wallace",LLM limitation
2023_LLM limitation_Large Language Models Sensitivity to The Order of Options in Multiple-Choice Questions.pdf,Large Language Models Sensitivity to The Order of Options in Multiple-Choice Questions,2023,Large Language Models Sensitivity to The Order of Options in Multiple-Choice Questions,LLM limitation
2023_LLM limitation_Lost in the Middle- How Language Models Use Long Contexts.pdf,Lost in the Middle- How Language Models Use Long Contexts,2023,"Nelson F. Liu, Kevin Lin, John Hewitt, Ashwin Paranjape, Michele Bevilacqua, Fabio Petroni, Percy Liang",LLM limitation
2023_LLM limitation_Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or- How I learned to start worrying about prompt formatting.pdf,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or- How I learned to start worrying about prompt formatting,2023,"Melanie Sclar, Yejin Choi, Yulia Tsvetkov, Alane Suhr",LLM limitation
